 Sample_ID,Age,1σ,Isotopic ratios,,,,,,,,,,,,,
,,,176Hf/177Hf,1σ,176Lu/177Hf,1σ,176Yb/177Hf,1σ,εHf(0),1σ,εHf(t),1σ,TDM1,TDM2,fLu/Hf,
XX14-15-12,293 ,4 ,0.28284 ,0.00001 ,0.00090 ,0.00001 ,0.02408 ,0.00040 ,2.26 ,0.67 ,8.53 ,0.68 ,588.34 ,705.93 ,-0.97 ,
XX14-15-13,221 ,2 ,0.28215 ,0.00001 ,0.00070 ,0.00002 ,0.01905 ,0.00031 ,-22.00 ,0.63 ,-17.25 ,0.64 ,1540.61 ,2076.33 ,-0.98 ,
XX14-15-14,195 ,2 ,0.28285 ,0.00001 ,0.00195 ,0.00004 ,0.05349 ,0.00144 ,2.74 ,0.65 ,6.71 ,0.67 ,585.44 ,727.02 ,-0.94 ,
XX14-15-15,215 ,2 ,0.28248 ,0.00001 ,0.00121 ,0.00002 ,0.03274 ,0.00039 ,-10.29 ,0.65 ,-5.74 ,0.66 ,1096.47 ,1437.38 ,-0.96 ,
XX14-15-16,266 ,3 ,0.28267 ,0.00001 ,0.00128 ,0.00003 ,0.03211 ,0.00087 ,-3.66 ,0.67 ,1.96 ,0.69 ,832.54 ,1050.38 ,-0.96 ,
XX14-15-17,176 ,3 ,0.28279 ,0.00001 ,0.00089 ,0.00001 ,0.02480 ,0.00023 ,0.64 ,0.64 ,4.40 ,0.65 ,652.59 ,842.85 ,-0.97 ,
XX14-15-18,305 ,4 ,0.28276 ,0.00002 ,0.00082 ,0.00001 ,0.02249 ,0.00037 ,-0.40 ,0.74 ,6.14 ,0.76 ,692.89 ,848.64 ,-0.98 ,
XX14-15-19,265 ,4 ,0.28268 ,0.00001 ,0.00208 ,0.00005 ,0.06061 ,0.00120 ,-3.23 ,0.70 ,2.48 ,0.72 ,832.94 ,1030.17 ,-0.94 ,
XX14-15-20,271 ,3 ,0.28230 ,0.00002 ,0.00151 ,0.00003 ,0.04050 ,0.00097 ,-16.59 ,0.81 ,-10.91 ,0.82 ,1357.86 ,1766.31 ,-0.95 ,
XX14-15-21,175 ,2 ,0.28252 ,0.00001 ,0.00087 ,0.00002 ,0.02329 ,0.00053 ,-8.85 ,0.70 ,-5.12 ,0.71 ,1029.30 ,1371.08 ,-0.97 ,
XX14-15-22,301 ,3 ,0.28293 ,0.00001 ,0.00121 ,0.00002 ,0.03201 ,0.00056 ,5.48 ,0.66 ,11.86 ,0.68 ,463.28 ,526.24 ,-0.96 ,
XX14-15-23,228 ,3 ,0.28211 ,0.00001 ,0.00083 ,0.00001 ,0.02152 ,0.00028 ,-23.26 ,0.65 ,-18.35 ,0.66 ,1594.96 ,2142.85 ,-0.98 ,
XX14-15-24,258 ,4 ,0.28278 ,0.00001 ,0.00173 ,0.00001 ,0.04639 ,0.00027 ,0.35 ,0.64 ,5.77 ,0.66 ,679.34 ,833.63 ,-0.95 ,
XX14-15-25,304 ,4 ,0.28280 ,0.00001 ,0.00141 ,0.00002 ,0.03533 ,0.00043 ,1.03 ,0.70 ,7.48 ,0.72 ,645.98 ,775.01 ,-0.96 ,
XX14-15-26,233 ,3 ,0.28203 ,0.00001 ,0.00039 ,0.00001 ,0.01044 ,0.00033 ,-26.27 ,0.67 ,-21.38 ,0.68 ,1693.39 ,2306.14 ,-0.99 ,
XX14-2-01,209 ,2 ,0.28251 ,0.00001 ,0.00069 ,0.00001 ,0.01703 ,0.00019 ,-9.16 ,0.66 ,-4.68 ,0.67 ,1036.65 ,1373.44 ,-0.98 ,
XX14-2-02,205 ,2 ,0.28245 ,0.00001 ,0.00087 ,0.00001 ,0.02048 ,0.00016 ,-11.47 ,0.63 ,-7.10 ,0.65 ,1133.09 ,1504.25 ,-0.97 ,
XX14-2-03,273 ,3 ,0.28287 ,0.00001 ,0.00166 ,0.00003 ,0.04452 ,0.00067 ,3.62 ,0.68 ,9.31 ,0.70 ,544.93 ,645.86 ,-0.95 ,
XX14-2-04,227 ,3 ,0.28246 ,0.00001 ,0.00060 ,0.00001 ,0.01582 ,0.00036 ,-11.10 ,0.61 ,-6.23 ,0.63 ,1110.54 ,1473.02 ,-0.98 ,
XX14-2-05,208 ,2 ,0.28250 ,0.00001 ,0.00047 ,0.00001 ,0.01175 ,0.00033 ,-9.76 ,0.61 ,-5.20 ,0.63 ,1054.44 ,1404.24 ,-0.99 ,
XX14-2-06,208 ,2 ,0.28248 ,0.00001 ,0.00091 ,0.00002 ,0.02133 ,0.00036 ,-10.36 ,0.65 ,-6.00 ,0.67 ,1090.35 ,1443.25 ,-0.97 ,
XX14-2-07,240 ,3 ,0.28285 ,0.00001 ,0.00385 ,0.00006 ,0.10821 ,0.00230 ,2.63 ,0.66 ,7.30 ,0.68 ,622.32 ,732.64 ,-0.88 ,
XX14-2-08,225 ,3 ,0.28249 ,0.00001 ,0.00036 ,0.00000 ,0.00960 ,0.00004 ,-9.92 ,0.65 ,-5.29 ,0.66 ,1057.42 ,1411.07 ,-0.99 ,
XX14-2-09,210 ,2 ,0.28246 ,0.00001 ,0.00050 ,0.00000 ,0.01282 ,0.00014 ,-11.08 ,0.67 ,-6.45 ,0.68 ,1106.52 ,1475.78 ,-0.99 ,
XX14-2-10,212 ,2 ,0.28247 ,0.00001 ,0.00082 ,0.00001 ,0.02019 ,0.00024 ,-10.70 ,0.70 ,-6.04 ,0.71 ,1101.01 ,1455.84 ,-0.98 ,
XX14-2-11,388 ,5 ,0.28237 ,0.00001 ,0.00156 ,0.00003 ,0.04376 ,0.00103 ,-14.38 ,0.71 ,-6.56 ,0.73 ,1270.69 ,1606.67 ,-0.95 ,
XX14-2-12,208 ,2 ,0.28253 ,0.00001 ,0.00110 ,0.00002 ,0.02800 ,0.00056 ,-8.50 ,0.71 ,-4.10 ,0.72 ,1021.72 ,1340.28 ,-0.97 ,
XX14-2-13,219 ,3 ,0.28255 ,0.00001 ,0.00064 ,0.00001 ,0.01633 ,0.00012 ,-8.01 ,0.70 ,-3.22 ,0.71 ,989.96 ,1303.48 ,-0.98 ,
XX14-2-14,224 ,2 ,0.28253 ,0.00001 ,0.00064 ,0.00000 ,0.01625 ,0.00014 ,-8.44 ,0.67 ,-3.65 ,0.68 ,1006.87 ,1327.34 ,-0.98 ,
XX14-2-15,214 ,3 ,0.28247 ,0.00001 ,0.00042 ,0.00000 ,0.01179 ,0.00007 ,-10.72 ,0.66 ,-6.18 ,0.67 ,1090.42 ,1457.26 ,-0.99 ,
XX14-2-16,212 ,2 ,0.28249 ,0.00001 ,0.00062 ,0.00000 ,0.01612 ,0.00013 ,-10.04 ,0.64 ,-5.49 ,0.65 ,1069.38 ,1420.25 ,-0.98 ,
XX14-2-17,228 ,2 ,0.28252 ,0.00001 ,0.00080 ,0.00000 ,0.02061 ,0.00022 ,-8.86 ,0.64 ,-3.94 ,0.65 ,1027.64 ,1349.02 ,-0.98 ,
XX14-2-18,222 ,2 ,0.28250 ,0.00001 ,0.00086 ,0.00002 ,0.02171 ,0.00050 ,-9.79 ,0.61 ,-5.07 ,0.62 ,1066.09 ,1404.56 ,-0.97 ,
XX14-2-19,216 ,2 ,0.28259 ,0.00001 ,0.00101 ,0.00003 ,0.02635 ,0.00078 ,-6.60 ,0.62 ,-1.95 ,0.64 ,943.73 ,1229.93 ,-0.97 ,
XX14-2-20,215 ,4 ,0.28249 ,0.00001 ,0.00045 ,0.00001 ,0.01258 ,0.00024 ,-9.86 ,0.64 ,-5.25 ,0.65 ,1057.68 ,1408.52 ,-0.99 ,
XX14-2-21,226 ,2 ,0.28249 ,0.00002 ,0.00104 ,0.00003 ,0.02726 ,0.00064 ,-9.85 ,0.74 ,-5.04 ,0.75 ,1073.69 ,1407.33 ,-0.97 ,
XX14-2-22,210 ,2 ,0.28250 ,0.00001 ,0.00069 ,0.00000 ,0.01688 ,0.00014 ,-9.63 ,0.68 ,-5.06 ,0.69 ,1055.14 ,1397.54 ,-0.98 ,
XX14-2-23,226 ,2 ,0.28252 ,0.00001 ,0.00072 ,0.00001 ,0.01890 ,0.00024 ,-8.81 ,0.63 ,-3.96 ,0.65 ,1023.62 ,1347.09 ,-0.98 ,
XX14-2-24,227 ,2 ,0.28259 ,0.00001 ,0.00084 ,0.00001 ,0.02351 ,0.00035 ,-6.28 ,0.63 ,-1.50 ,0.64 ,926.63 ,1208.77 ,-0.97 ,
XX14-2-25,259 ,3 ,0.28262 ,0.00002 ,0.00176 ,0.00002 ,0.04605 ,0.00064 ,-5.27 ,0.75 ,0.15 ,0.76 ,908.76 ,1146.60 ,-0.95 ,
XX14-2-26,254 ,2 ,0.28244 ,0.00001 ,0.00281 ,0.00006 ,0.08738 ,0.00155 ,-11.76 ,0.63 ,-6.60 ,0.65 ,1206.20 ,1517.39 ,-0.92 ,
XX14-2-27,214 ,2 ,0.28197 ,0.00002 ,0.00151 ,0.00003 ,0.03682 ,0.00069 ,-28.20 ,0.75 ,-23.73 ,0.76 ,1820.79 ,2424.74 ,-0.95 ,
